Vischer, Wilhelm	http://d-nb.info/gnd/100791743, http://d-nb.info/gnd/117436828, http://d-nb.info/gnd/11772548X, http://d-nb.info/gnd/118768670, http://d-nb.info/gnd/119197146, http://d-nb.info/gnd/130033227, http://d-nb.info/gnd/131092030, http://d-nb.info/gnd/136160514, http://d-nb.info/gnd/189421274
Schoenaich, Paul Frh. von	
Dyck, J.	http://d-nb.info/gnd/126349029
Rehwaldt, Hermann	http://d-nb.info/gnd/107004097
Schay, Rudolf	http://d-nb.info/gnd/126777713
Lawrence, David Herbert	http://d-nb.info/gnd/118570358
Uzanne, Octave	http://d-nb.info/gnd/13088555X
Strake, Heinrich, SVD.	
Schlesinger, Martin Ludwig	http://d-nb.info/gnd/143336568
Muenzer, Kurt	http://d-nb.info/gnd/117179183, http://d-nb.info/gnd/157734803
Roeckh, Otto	
Greulich, Hermann	http://d-nb.info/gnd/120865807, http://d-nb.info/gnd/135558786, http://d-nb.info/gnd/160700183
Paassen, Pierre van	http://d-nb.info/gnd/141944285, http://d-nb.info/gnd/157899497, http://d-nb.info/gnd/160509734
Byern, Heinz Alfred	
Klausmann, Robert	http://d-nb.info/gnd/126486638, http://d-nb.info/gnd/181582899
Weitsch, Eduard	http://d-nb.info/gnd/101793359, http://d-nb.info/gnd/118766562
Alfes, Georg	http://d-nb.info/gnd/104559683, http://d-nb.info/gnd/116286423, http://d-nb.info/gnd/129268143, http://d-nb.info/gnd/174118325, http://d-nb.info/gnd/18946142X
Wichterich, Richard	http://d-nb.info/gnd/101770634
Guénolé, Pierre	
Sills-Fuchs, Martha	http://d-nb.info/gnd/135946166, http://d-nb.info/gnd/177420464
Scize, Pierre	http://d-nb.info/gnd/126801827
Schmid, Karl G.	http://d-nb.info/gnd/101567448, http://d-nb.info/gnd/118795201
Badigin, Konstantin	http://d-nb.info/gnd/103614222, http://d-nb.info/gnd/174776675
Brown, Sidney H.	http://d-nb.info/gnd/126236259, http://d-nb.info/gnd/154923141
Osten-Sacken, Maria	
Hessen, Robert 	
Mi??an, Vladimír	
Nissen, Benedikt Momme	http://d-nb.info/gnd/117022632, http://d-nb.info/gnd/160447739, http://d-nb.info/gnd/185879969
Talmage, James Edward	http://d-nb.info/gnd/121529843, http://d-nb.info/gnd/183035550
Sinclair, Upton	http://d-nb.info/gnd/118797395, http://d-nb.info/gnd/185752055
Schlotthauer, R.	http://d-nb.info/gnd/126785376
Malaparte, Curzio	http://d-nb.info/gnd/118781383, http://d-nb.info/gnd/160428912, http://d-nb.info/gnd/181918412, http://d-nb.info/gnd/181918420, http://d-nb.info/gnd/181918439
Bonne, Georg	http://d-nb.info/gnd/101148518, http://d-nb.info/gnd/116241802, http://d-nb.info/gnd/174885806
Heine, Heinrich	http://d-nb.info/gnd/115373136, http://d-nb.info/gnd/116675047, http://d-nb.info/gnd/118548018, http://d-nb.info/gnd/131480405, http://d-nb.info/gnd/174312911, http://d-nb.info/gnd/1012395472, http://d-nb.info/gnd/1034899333, http://d-nb.info/gnd/1037538560
Kenn, Irmgard	
West, Ludwig E.	http://d-nb.info/gnd/181042428
Frateco, 	
Gulden, Ery H.	http://d-nb.info/gnd/105755001
Brantôme, Pierre de Bourdeille de	
Blank, Matthias	http://d-nb.info/gnd/101216211, http://d-nb.info/gnd/116199784
Kalinin, Michail Ivanovi??	
Rump, Johann	http://d-nb.info/gnd/116705574, http://d-nb.info/gnd/177214481, http://d-nb.info/gnd/1019010924, http://d-nb.info/gnd/1021065382
Blos, Wilhelm	http://d-nb.info/gnd/11851184X, http://d-nb.info/gnd/133927709, http://d-nb.info/gnd/160311683
Verworn, Max	http://d-nb.info/gnd/117390828, http://d-nb.info/gnd/177841680
Rentner, Edbert	http://d-nb.info/gnd/12681676X, http://d-nb.info/gnd/12681676X, http://d-nb.info/gnd/182417298
Papke, Käthe	
Duwe, Willi	http://d-nb.info/gnd/116259221, http://d-nb.info/gnd/154202614
Kollenscher, Max	http://d-nb.info/gnd/10188821X
Beuve-Méry, Hubert	
Unger, Wilhelm	http://d-nb.info/gnd/100673872, http://d-nb.info/gnd/117293652, http://d-nb.info/gnd/117293687, http://d-nb.info/gnd/136249582, http://d-nb.info/gnd/189501782, http://d-nb.info/gnd/1011817578
Brentano, Bernard von	http://d-nb.info/gnd/118673858
Baum, Vicki	http://d-nb.info/gnd/118653830
Nikulin, Lev V. 	
Petroff, Peter and Irma	
Constant, Claude	http://d-nb.info/gnd/10882747X
Heinrich, Kurt	http://d-nb.info/gnd/115667571, http://d-nb.info/gnd/115668454, http://d-nb.info/gnd/138155488, http://d-nb.info/gnd/189532092, http://d-nb.info/gnd/1022026968, http://d-nb.info/gnd/1028430310, http://d-nb.info/gnd/1038671299
Petersen, Jan	http://d-nb.info/gnd/101981139, http://d-nb.info/gnd/108126668, http://d-nb.info/gnd/118762796, http://d-nb.info/gnd/121641864, http://d-nb.info/gnd/121844528, http://d-nb.info/gnd/132564998, http://d-nb.info/gnd/133186059, http://d-nb.info/gnd/136530184
Lindemann, Frido	http://d-nb.info/gnd/10839123X, http://d-nb.info/gnd/1042044813
Simon, Paul	http://d-nb.info/gnd/103948627, http://d-nb.info/gnd/11739422X, http://d-nb.info/gnd/117399094, http://d-nb.info/gnd/119079127, http://d-nb.info/gnd/119458888, http://d-nb.info/gnd/123330831, http://d-nb.info/gnd/130557587, http://d-nb.info/gnd/131519913, http://d-nb.info/gnd/173576109, http://d-nb.info/gnd/189498447, http://d-nb.info/gnd/1018188126, http://d-nb.info/gnd/1021192724, http://d-nb.info/gnd/1037661427
Amie des Femmes, L'	
Mann, Heinrich	http://d-nb.info/gnd/118577131, http://d-nb.info/gnd/132165015, http://d-nb.info/gnd/137103433, http://d-nb.info/gnd/173259073
Zimmermann, Albert	http://d-nb.info/gnd/101826028, http://d-nb.info/gnd/116994797, http://d-nb.info/gnd/119209926, http://d-nb.info/gnd/126790000, http://d-nb.info/gnd/136017177, http://d-nb.info/gnd/14215427X, http://d-nb.info/gnd/171644875, http://d-nb.info/gnd/1020514264, http://d-nb.info/gnd/1025283848, http://d-nb.info/gnd/1026321891, http://d-nb.info/gnd/1027811086
Gubkin, I. M.	
Newerow, Alexander	http://d-nb.info/gnd/119470950, http://d-nb.info/gnd/183582632
Goldman, Lothar	http://d-nb.info/gnd/126426279
Springer, Max	http://d-nb.info/gnd/100839649, http://d-nb.info/gnd/117479969, http://d-nb.info/gnd/117479993
Ragaz, Klara	http://d-nb.info/gnd/128407506
Kuczynski, Jürgen	
Lowitsch, Alfred	http://d-nb.info/gnd/128254866
Naumann, Max	http://d-nb.info/gnd/101889844, http://d-nb.info/gnd/124730949
Prag, 	
Mehnert, Klaus	http://d-nb.info/gnd/101401280, http://d-nb.info/gnd/118579959, http://d-nb.info/gnd/121938409, http://d-nb.info/gnd/123380391, http://d-nb.info/gnd/139587047
Garai, D.	http://d-nb.info/gnd/126267642
Winger, Georg	
Hedler, Adolf	http://d-nb.info/gnd/12638181X, http://d-nb.info/gnd/1015082076
Ebstein, Erich	http://d-nb.info/gnd/116334177, http://d-nb.info/gnd/118630989, http://d-nb.info/gnd/131312391
Heimann, Hugo	http://d-nb.info/gnd/116657022
Lingemann, Paul	http://d-nb.info/gnd/126477701
Haringer, Jacob	http://d-nb.info/gnd/103975586, http://d-nb.info/gnd/118720392
Lama, Friedrich Ritter von	
Wel, C.	http://d-nb.info/gnd/101281021
Friedenthal, Albert	http://d-nb.info/gnd/11679318X, http://d-nb.info/gnd/175540462
Billung, R.	http://d-nb.info/gnd/126065926
Malinowski, Stefan	
Nicole, Léon	
Adler, Felix	http://d-nb.info/gnd/118643851, http://d-nb.info/gnd/14196250X, http://d-nb.info/gnd/174057601, http://d-nb.info/gnd/174733283, http://d-nb.info/gnd/1029582556
Segal, Louis	http://d-nb.info/gnd/103579311, http://d-nb.info/gnd/119178524, http://d-nb.info/gnd/154671053, http://d-nb.info/gnd/1038464013
Radyserb, Jan	http://d-nb.info/gnd/172323940
Saettler, Franz	http://d-nb.info/gnd/15774535X
Beisswanger, Konrad	
Zak, Alexander	http://d-nb.info/gnd/127268618, http://d-nb.info/gnd/183317661
Paul, H.	http://d-nb.info/gnd/105417173, http://d-nb.info/gnd/127928146, http://d-nb.info/gnd/135914019, http://d-nb.info/gnd/170435334
Zinner, Hedda	http://d-nb.info/gnd/118637061, http://d-nb.info/gnd/178094013
Farbstein, David	http://d-nb.info/gnd/123849209, http://d-nb.info/gnd/175557136
